wellenlaenge arbitrary
742.273 22.926
742.380 -17.075
742.487 26.923
742.593 7.921
742.700 -11.081
742.807 -37.082
742.914 22.916
743.021 -18.086
743.127 -21.087
743.234 11.911
743.341 26.909
743.447 60.908
743.554 36.906
743.661 16.904
743.767 -5.097
743.874 26.901
743.980 38.899
744.087 -18.102
744.193 1.896
744.300 2.894
744.406 37.893
744.513 3.891
744.619 -26.110
744.725 9.888
744.832 -2.114
744.938 25.885
745.044 24.883
745.151 32.881
745.257 15.880
745.363 -25.122
745.469 -18.123
745.576 6.875
745.682 12.873
745.788 -38.128
745.894 15.870
746.000 41.869
746.106 40.867
746.212 20.866
746.318 27.864
746.424 38.862
746.530 1.861
746.636 -11.141
746.742 16.858
746.848 -12.144
746.954 23.855
747.060 8.853
747.166 63.852
747.272 30.850
747.378 46.849
747.483 10.847
747.589 -25.155
747.695 1.844
747.801 -1.158
747.906 65.841
748.012 54.839
748.118 13.838
748.223 -1.164
748.329 -17.165
748.434 -10.167
748.540 19.832
748.645 -20.170
748.751 53.829
748.856 40.828
748.962 -28.174
749.067 23.825
749.173 45.823
749.278 17.822
749.384 -3.180
749.489 28.819
749.594 -16.183
749.700 5.816
749.805 -25.186
749.910 8.813
750.015 -3.188
750.121 -15.190
750.226 73.809
750.331 33.807
750.436 -2.194
750.541 -0.196
750.646 -26.197
750.751 2.802
750.856 7.800
750.962 -15.201
751.067 18.797
751.172 13.796
751.277 45.795
751.381 -41.207
751.486 62.792
751.591 16.790
751.696 22.789
751.801 79.788
751.906 47.786
752.011 50.785
752.115 27.783
752.220 -13.218
752.325 27.781
752.430 20.779
752.534 29.778
752.639 12.777
752.744 -39.225
752.848 -19.226
752.953 6.773
753.057 17.771
753.162 11.770
753.267 32.769
753.371 -8.233
753.476 -9.234
753.580 -24.235
753.685 23.763
753.789 17.762
753.893 8.761
753.998 0.759
754.102 -39.242
754.206 41.757
754.311 45.755
754.415 33.754
754.519 50.753
754.624 18.752
754.728 20.750
754.832 28.749
754.936 -17.252
755.040 -20.254
755.144 2.745
755.248 54.744
755.353 46.743
755.457 -19.259
755.561 26.740
755.665 49.739
755.769 -5.262
755.873 10.736
755.977 11.735
756.080 -10.266
756.184 33.733
756.288 9.731
756.392 -14.270
756.496 -24.271
756.600 4.728
756.704 46.726
756.807 -45.275
756.911 3.724
757.015 0.723
757.118 -8.279
757.222 -4.280
757.326 4.719
757.429 8.718
757.533 -12.283
757.637 47.715
757.740 35.714
757.844 19.713
757.947 36.712
758.051 -12.289
758.154 14.709
758.258 29.708
758.361 49.707
758.464 42.706
758.568 36.705
758.671 -6.297
758.774 -5.298
758.878 -12.299
758.981 54.700
759.084 2.699
759.188 31.698
759.291 10.696
759.394 -56.305
759.497 -4.306
759.600 -11.307
759.703 29.692
759.807 40.691
759.910 -5.311
760.013 25.688
760.116 -3.313
760.219 73.686
760.322 20.685
760.425 21.684
760.528 45.683
760.631 -39.318
760.733 31.680
760.836 4.679
760.939 -42.322
761.042 30.677
761.145 4.676
761.248 3.675
761.350 8.674
761.453 6.673
761.556 2.671
761.659 -7.330
761.761 39.669
761.864 3.668
761.967 58.667
762.069 29.666
762.172 27.665
762.274 32.664
762.377 6.663
762.479 8.662
762.582 45.661
762.684 37.660
762.787 44.658
762.889 -5.343
762.992 -21.344
763.094 0.655
763.196 29.654
763.299 45.653
763.401 19.652
763.503 45.651
763.605 -6.350
763.708 53.649
763.810 23.648
763.912 -17.353
764.014 60.646
764.116 -4.355
764.219 17.644
764.321 22.643
764.423 38.642
764.525 46.641
764.627 12.639
764.729 -20.362
764.831 -63.363
764.933 22.636
765.035 22.635
765.137 57.634
765.239 1.633
765.340 -8.368
765.442 31.631
765.544 61.630
765.646 21.629
765.748 54.628
765.849 12.627
765.951 2.626
766.053 26.625
766.155 19.624
766.256 12.623
766.358 -0.378
766.460 38.621
766.561 87.620
766.663 37.619
766.764 32.618
766.866 12.617
766.967 47.616
767.069 8.615
767.170 33.614
767.272 27.613
767.373 51.612
767.475 11.611
767.576 1.611
767.677 62.610
767.779 52.609
767.880 17.608
767.981 27.607
