a1_A,a1_A_doubled,a1_mW,a1_Fehler,P_el_fitted,Effizienz_prozent
4,8,180,0.5,19.8342535887936,0.907520916752324
3.7,7.4,154,0.5,18.2808489747858,0.842411641890416
3.4,6.8,122.5,0.5,16.7274443607779,0.732329442309996
3.1,6.2,97,1,15.1740397467701,0.639249676544751
2.8,5.6,35.2,0.5,13.6206351327623,0.258431414224818
2.5,5,13.3,0.5,12.0672305187545,0.110215844301056
2.2,4.4,0,0,10.5138259047467,0
