wellenlaenge arbitrary
709.410 267.472
709.523 317.894
709.637 313.316
709.751 338.736
709.864 300.155
709.978 241.574
710.091 291.991
710.205 267.407
710.318 265.822
710.432 390.237
710.545 391.650
710.659 419.062
710.772 490.473
710.885 331.883
710.999 339.292
711.112 408.700
711.225 327.107
711.339 354.513
711.452 341.918
711.565 274.322
711.678 253.725
711.792 410.127
711.905 488.528
712.018 410.928
712.131 309.327
712.244 228.725
712.357 288.122
712.470 293.518
712.583 313.913
712.696 451.307
712.809 267.700
712.922 251.092
713.035 348.483
713.148 288.873
713.261 395.262
713.374 348.650
713.487 369.037
713.600 414.423
713.713 331.808
713.825 333.192
713.938 301.575
714.051 313.958
714.164 406.339
714.276 371.719
714.389 383.098
714.502 431.477
714.614 432.854
714.727 458.231
714.840 355.606
714.952 356.981
715.065 468.354
715.177 407.727
715.290 374.098
715.402 326.469
715.515 453.839
715.627 452.208
715.739 276.576
715.852 331.943
715.964 412.309
716.076 416.674
716.189 478.038
716.301 504.401
716.413 368.763
716.526 380.125
716.638 366.485
716.750 340.845
716.862 266.203
716.974 263.561
717.086 306.918
717.199 374.273
717.311 394.628
717.423 317.982
717.535 258.335
717.647 317.688
717.759 247.039
717.871 339.389
717.983 365.739
718.095 398.087
718.207 334.435
718.318 352.782
718.430 320.128
718.542 284.473
718.654 392.817
718.766 220.160
718.878 178.503
718.989 253.844
719.101 266.185
719.213 273.524
719.324 345.863
719.436 412.201
719.548 348.538
719.659 355.875
719.771 369.210
719.882 474.544
719.994 512.878
720.105 384.211
720.217 388.543
720.328 561.874
720.440 413.204
720.551 389.533
720.663 385.862
720.774 439.189
720.885 503.516
720.997 418.842
721.108 372.167
721.219 419.492
721.331 369.815
721.442 315.138
721.553 348.459
721.664 436.780
721.776 301.100
721.887 354.420
721.998 373.738
722.109 390.056
722.220 465.373
722.331 409.688
722.442 350.004
722.553 362.318
722.664 324.632
722.775 403.944
722.886 388.256
722.997 341.567
723.108 440.878
723.219 368.187
723.330 198.496
723.440 220.804
723.551 463.111
723.662 600.417
723.773 371.722
723.884 417.027
723.994 471.331
724.105 402.634
724.216 501.937
724.326 351.238
724.437 282.539
724.548 236.839
724.658 399.138
724.769 534.436
724.879 534.734
724.990 447.031
725.100 481.327
725.211 428.623
725.321 428.917
725.432 471.211
725.542 560.504
725.652 466.796
725.763 374.088
725.873 505.379
725.983 489.669
726.094 494.958
726.204 469.247
726.314 381.534
726.424 302.821
726.535 367.108
726.645 368.393
726.755 354.678
726.865 484.962
726.975 543.245
727.085 479.528
727.195 383.810
727.305 341.091
727.415 334.372
727.525 359.651
727.635 390.930
727.745 349.208
727.855 369.486
727.965 407.763
728.075 391.039
728.185 342.314
728.295 315.589
728.405 320.863
728.514 281.136
728.624 371.409
728.734 573.680
728.844 445.952
728.953 410.222
729.063 445.492
729.173 285.761
729.282 324.029
729.392 512.297
729.501 378.564
729.611 259.830
729.721 354.096
729.830 512.360
729.940 468.625
730.049 540.888
730.159 512.151
730.268 404.413
730.377 323.675
730.487 417.935
730.596 551.196
730.705 609.455
730.815 473.714
730.924 294.972
731.033 245.229
731.143 269.486
731.252 333.742
731.361 356.998
731.470 297.253
731.579 347.507
731.688 458.760
731.798 489.013
731.907 401.265
732.016 368.517
732.125 433.768
732.234 378.018
732.343 395.268
732.452 402.517
732.561 484.765
732.670 421.013
732.778 347.260
732.887 365.506
732.996 397.752
733.105 360.997
733.214 368.242
733.323 376.486
733.431 347.729
733.540 413.972
733.649 320.214
733.758 394.455
733.866 447.696
733.975 467.936
734.084 416.175
734.192 266.414
734.301 267.653
734.409 302.890
734.518 451.128
734.626 579.364
734.735 479.600
734.843 458.835
734.952 451.070
735.060 497.304
735.169 428.538
735.277 413.770
735.385 533.003
735.494 448.234
735.602 429.466
735.710 464.696
735.819 407.926
735.927 431.155
736.035 522.384
736.143 444.612
736.251 358.840
736.360 372.067
736.468 386.293
736.576 421.519
736.684 471.745
736.792 426.969
736.900 342.193
737.008 332.417
737.116 394.640
737.224 422.862
737.332 435.084
737.440 341.306
737.548 362.526
737.656 496.747
737.763 504.966
737.871 399.185
737.979 442.404
738.087 463.622
738.195 468.839
738.302 369.056
738.410 423.272
738.518 477.488
738.625 480.703
738.733 467.918
738.841 343.132
738.948 375.346
739.056 421.559
739.164 430.771
739.271 392.983
739.379 346.195
739.486 347.406
739.594 359.616
739.701 343.826
739.808 439.035
739.916 379.244
740.023 349.452
740.131 408.660
740.238 482.867
740.345 441.074
740.452 428.280
740.560 353.485
740.667 362.691
740.774 336.895
740.881 402.099
740.989 366.303
741.096 393.506
741.203 427.709
741.310 471.911
741.417 543.112
741.524 458.313
741.631 485.514
741.738 417.714
741.845 441.913
