wellenlaenge,arbitraer
-0.000000952,0.0603125
-0.0000009518,0.0909375
-0.0000009516,0.07
-0.0000009514,0.0789063
-0.0000009512,0.05
-0.000000951,0.0821875
-0.0000009508,0.0710156
-0.0000009506,0.0592188
-0.0000009504,0.0499219
-0.0000009502,0.0503906
-0.00000095,0.0420313
-0.0000009498,-0.0128906
-0.0000009496,-0.0104687
-0.0000009494,-0.0121875
-0.0000009492,-0.0491406
-0.000000949,-0.06
-0.0000009488,-0.115
-0.0000009486,-0.129766
-0.0000009484,-0.132266
-0.0000009482,-0.0826562
-0.000000948,-0.0532812
-0.0000009478,-0.0216406
-0.0000009476,0.00453125
-0.0000009474,0.0405469
-0.0000009472,0.110391
-0.000000947,0.127891
-0.0000009468,0.15875
-0.0000009466,0.141563
-0.0000009464,0.165859
-0.0000009462,0.15375
-0.000000946,0.151016
-0.0000009458,0.131563
-0.0000009456,0.138516
-0.0000009454,0.124844
-0.0000009452,0.0922656
-0.000000945,0.0980469
-0.0000009448,0.15
-0.0000009446,0.297031
-0.0000009444,0.531406
-0.0000009442,0.837969
-0.000000944,1.16742
-0.0000009438,1.44078
-0.0000009436,1.6357
-0.0000009434,1.76641
-0.0000009432,1.83805
-0.000000943,1.82289
-0.0000009428,1.6618
-0.0000009426,1.43906
-0.0000009424,1.21883
-0.0000009422,1.0018
-0.000000942,0.807422
-0.0000009418,0.669297
-0.0000009416,0.547969
-0.0000009414,0.428906
-0.0000009412,0.359453
-0.000000941,0.288594
-0.0000009408,0.229453
-0.0000009406,0.157422
-0.0000009404,0.109453
-0.0000009402,0.109844
-0.00000094,0.0689844
-0.0000009398,0.0696875
-0.0000009396,0.0496094
-0.0000009394,0.0725781
-0.0000009392,0.0882031
-0.000000939,0.0498438
-0.0000009388,0.0701563
-0.0000009386,0.0600781
-0.0000009384,0.08
-0.0000009382,0.0591406
-0.000000938,0.04
-0.0000009378,0.039375
-0.0000009376,0.0196875
-0.0000009374,0.02
-0.0000009372,-0.0214844
-0.000000937,-0.0305469
-0.0000009368,-0.0510156
-0.0000009366,-0.0695312
-0.0000009364,-0.0897656
-0.0000009362,-0.13
-0.000000936,-0.0995312
-0.0000009358,-0.0898437
-0.0000009356,-0.0898437
-0.0000009354,-0.0405469
-0.0000009352,0.00257813
-0.000000935,0.0503906
-0.0000009348,0.11
-0.0000009346,0.14125
-0.0000009344,0.148594
-0.0000009342,0.159844
-0.000000934,0.130234
-0.0000009338,0.149609
-0.0000009336,0.138828
-0.0000009334,0.169688
-0.0000009332,0.133281
-0.000000933,0.12
-0.0000009328,0.120156
-0.0000009326,0.11125
-0.0000009324,0.123906
-0.0000009322,0.287813
-0.000000932,0.471016
-0.0000009318,0.8025
-0.0000009316,1.10727
-0.0000009314,1.38023
-0.0000009312,1.62328
-0.000000931,1.78953
-0.0000009308,1.82984
-0.0000009306,1.81656
-0.0000009304,1.71117
-0.0000009302,1.50141
-0.00000093,1.26227
-0.0000009298,1.03047
-0.0000009296,0.829844
-0.0000009294,0.671875
-0.0000009292,0.562813
-0.000000929,0.444766
-0.0000009288,0.360625
-0.0000009286,0.288203
-0.0000009284,0.247656
-0.0000009282,0.173672
-0.000000928,0.119219
