Wellenlaenge,Intensitaet1,Abstand,Intensitaet2
768.487,-2,1.015,0.084
768.588,0,1.016,0.473
768.69,-2,1.017,0.007
768.791,1,1.018,0.035
768.892,-5,1.019,0.019
768.993,-11,1.02,0.241
769.094,-2,1.021,0.195
769.195,-6,1.022,0.064
769.296,-16,1.023,0.296
769.397,-8,1.024,0.177
769.498,-11,1.026,0.179
769.599,-4,1.027,0.047
769.7,15,1.028,0.09
769.8,-4,1.029,0.008
769.901,-12,1.03,0.308
770.002,-5,1.031,0.194
770.103,21,1.032,0.259
770.204,2,1.033,0.091
770.304,-10,1.034,0.252
770.405,-14,1.035,0.036
770.506,-13,1.036,0.257
770.607,-20,1.037,0.013
770.707,3,1.038,0.016
770.808,-14,1.04,0.197
770.909,-7,1.041,0.224
771.009,-11,1.042,0.038
771.11,9,1.043,0.141
771.21,0,1.044,0.111
771.311,9,1.045,0.158
771.411,-9,1.046,0.087
771.512,18,1.047,0.176
771.612,-5,1.048,0.291
771.713,13,1.049,0.175
771.813,-27,1.05,0.154
771.914,-25,1.051,0.373
772.014,5,1.052,0.631
772.114,2,1.053,0.218
772.215,2,1.055,0.394
772.315,-19,1.056,0.097
772.415,-8,1.057,0.211
772.515,9,1.058,0.431
772.616,-6,1.059,0.181
772.716,-6,1.06,0.472
772.816,-26,1.061,0.356
772.916,-12,1.062,0.155
773.016,-17,1.063,0.219
773.117,3,1.064,0.156
773.217,-21,1.065,0.018
773.317,-10,1.066,0.128
773.417,18,1.067,0.374
773.517,-11,1.068,0.103
773.617,2,1.07,0.23
773.717,-17,1.071,0.167
773.817,-15,1.072,0.266
773.917,14,1.073,0.227
774.017,7,1.074,0.285
774.117,-24,1.075,0.15
774.216,-5,1.076,0.009
774.316,-15,1.077,0.003
774.416,18,1.078,0.378
774.516,0,1.079,0.129
774.616,-7,1.08,0.03
774.715,-9,1.081,0.125
774.815,22,1.082,0.218
774.915,-4,1.083,0.558
775.015,0,1.085,0.276
775.114,-1,1.086,0.077
775.214,-14,1.087,0.297
775.314,0,1.088,0.232
775.413,-7,1.089,0.264
775.513,-22,1.09,0.714
775.612,4,1.091,0.188
775.712,-2,1.092,0.212
775.811,14,1.093,0.345
775.911,-1,1.094,0.321
776.01,-2,1.095,0.099
776.11,-28,1.096,0.022
776.209,-4,1.097,0.045
776.309,1,1.098,0.251
776.408,-11,1.1,0.138
776.507,-8,1.101,0.08
776.607,-7,1.102,0.059
776.706,-6,1.103,0.057
776.805,-5,1.104,0.268
776.904,-6,1.105,0.383
777.004,-17,1.106,0.438
777.103,-7,1.107,0.438
777.202,30,1.108,0.392
777.301,1,1.109,0.435
777.4,13,1.11,0.283
777.5,-23,1.111,0.356
777.599,-40,1.112,0.309
777.698,-24,1.113,0.21
777.797,-2,1.115,0.411
777.896,-5,1.116,0.217
777.995,-17,1.117,0.427
778.094,-7,1.118,0.403
778.193,1,1.119,0.238
778.292,2,1.12,0.028
778.391,2,1.121,0.093
778.49,1,1.122,0.022
778.588,10,1.123,0.24
778.687,15,1.124,0.151
778.786,5,1.125,0.143
778.885,-2,1.126,0.044
778.984,-3,1.127,0.126
779.082,-6,1.128,0.1
779.181,1,1.13,0.046
779.28,-23,1.131,0.34
779.379,-41,1.132,0.034
779.477,8,1.133,0.342
779.576,3,1.134,0.198
779.675,-21,1.135,0.07
779.773,-15,1.136,0.027
779.872,-12,1.137,0.462
779.97,-9,1.138,0.259
780.069,-11,1.139,0.214
780.167,8,1.14,0.08
780.266,4,1.141,0.244
780.364,-4,1.142,0.196
780.463,-3,1.143,0.26
780.561,-15,1.145,0.534
780.66,-12,1.146,0.422
780.758,-1,1.147,0.076
780.856,4,1.148,0.141
780.955,-7,1.149,0.178
781.053,-16,1.15,0.252
781.151,13,1.151,0.111
781.249,3,1.152,0.027
781.348,-15,1.153,0.062
781.446,-4,1.154,0.121
781.544,1,1.155,0.148
781.642,-9,1.156,0.186
781.74,-24,1.157,0.338
781.838,-10,1.158,0.25
781.937,-14,1.16,0.322
782.035,-9,1.161,0.024
782.133,-16,1.162,0.064
782.231,-8,1.163,0.161
782.329,-9,1.164,0.353
782.427,-12,1.165,0.064
782.525,4,1.166,0.063
782.623,9,1.167,0.03
782.721,-1,1.168,0.049
782.818,-2,1.169,0.048
782.916,-15,1.17,0.073
783.014,10,1.171,0.09
783.112,-1,1.172,0.344
783.21,-17,1.173,0.077
783.308,-7,1.175,0.06
783.405,-4,1.176,0.048
783.503,-18,1.177,0.102
783.601,-11,1.178,0.199
783.699,-14,1.179,0.323
783.796,0,1.18,0.031
783.894,-5,1.181,0.553
783.991,4,1.182,0.334
784.089,-2,1.183,0.046
784.187,9,1.184,0.184
784.284,0,1.185,0.318
784.382,-25,1.186,0.127
784.479,7,1.187,0.587
784.577,-10,1.188,0.703
784.674,11,1.19,0.454
784.772,-2,1.191,0.419
784.869,-3,1.192,0.169
784.966,5,1.193,0.293
785.064,8,1.194,0.228
785.161,-9,1.195,0.066
785.258,-16,1.196,0.027
785.356,10,1.197,0.376
785.453,-16,1.198,0.185
785.55,-6,1.199,0.163
785.648,-4,1.2,0.276
785.745,-14,1.201,0.197
785.842,-7,1.202,0.453
785.939,-8,1.203,0.035
786.036,-13,1.205,0.03
786.133,4,1.206,0.014
786.231,-5,1.207,0.138
786.328,7,1.208,0.118
786.425,19,1.209,0.294
786.522,-2,1.21,0.192
786.619,-15,1.211,0.083
786.716,-9,1.212,0.172
786.813,-16,1.213,0.099
786.91,-15,1.214,0.476
787.006,-3,1.215,0.448
787.103,3,1.216,0.138
787.2,-1,1.217,0.308
787.297,-13,1.218,0.034
787.394,24,1.22,0.011
787.491,0,1.221,0.436
787.588,-11,1.222,0.12
787.684,9,1.223,0.254
787.781,-21,1.224,0.315
787.878,-14,1.225,0.101
787.974,6,1.226,0.29
788.071,-5,1.227,0.239
788.168,-18,1.228,0.141
788.264,4,1.229,0.233
788.361,-8,1.23,0.169
788.458,-21,1.231,0.14
788.554,-5,1.232,0.277
788.651,-2,1.233,0.141
788.747,10,1.235,0.114
788.844,-2,1.236,0.311
788.94,-6,1.237,0.308
789.037,-2,1.238,0.143
789.133,-4,1.239,0.155
789.229,1,1.24,0.021
789.326,-6,1.241,0.242
789.422,-2,1.242,0.316
789.518,3,1.243,0.268
789.615,-9,1.244,0.019
789.711,2,1.245,0.036
789.807,13,1.246,0.043
789.903,0,1.247,0.305
790,7,1.248,0.009
790.096,-17,1.25,0.171
790.192,14,1.251,0.108
790.288,5,1.252,0.111
790.384,0,1.253,0.116
790.48,7,1.254,0.03
790.576,-8,1.255,0.31
790.673,-9,1.256,0.225
790.769,-7,1.257,0.23
790.865,-22,1.258,0.238
790.961,5,1.259,0.432
791.057,-10,1.26,0.135
791.152,-28,1.261,0.187
791.248,5,1.262,0.129
791.344,8,1.263,0.15
791.44,-17,1.265,0.174
791.536,10,1.266,0.006
791.632,8,1.267,0.451
791.728,5,1.268,0.011
791.823,-7,1.269,0.221
791.919,-38,1.27,0.052
792.015,-11,1.271,0.06
792.111,-14,1.272,0.152
792.206,3,1.273,0.058
792.302,12,1.274,0.074
792.398,-24,1.275,0.061
792.493,-23,1.276,0.058
792.589,13,1.277,0.204
792.684,-3,1.278,0.391
792.78,-8,1.28,0.392
792.875,-8,1.281,0.071
792.971,2,1.282,0.062
793.066,-17,1.283,0.181
793.162,-3,1.284,0.164
793.257,9,1.285,0.174
793.353,1,1.286,0.008
793.448,0,1.287,0.113
793.544,16,1.288,0.237
793.639,5,1.289,0.229
793.734,18,1.29,0.116
793.83,5,1.291,0.092
793.925,12,1.292,0.088
794.02,-17,1.293,0.069
794.115,-5,1.295,0.121
794.211,8,1.296,0.219
794.306,-24,1.297,0.388
794.401,1,1.298,0.072
794.496,-6,1.299,0.583
794.591,-3,1.3,0.355
794.686,17,1.301,0.484
794.781,15,1.302,0.019
794.876,-14,1.303,0.305
794.971,-12,1.304,0.058
795.066,2,1.305,0.124
795.161,-7,1.306,0.448
795.256,-2,1.307,0.226
795.351,12,1.308,0.615
795.446,-7,1.31,0.014
795.541,4,1.311,0.008
795.636,11,1.312,0.013
795.731,10,1.313,0.338
795.826,5,1.314,0.131
795.92,-20,1.315,0.113
796.015,-17,1.316,0.212
796.11,-21,1.317,0.095
796.205,0,1.318,0.061
796.299,2,1.319,0.181
796.394,6,1.32,0.009
796.489,-10,1.321,0.073
796.583,-9,1.322,0.173
796.678,-12,1.323,0.098
796.773,-3,1.325,0.005
796.867,-7,1.326,0.074
796.962,-2,1.327,0.016
797.056,-2,1.328,0.305
797.151,-22,1.329,0.151
797.245,0,1.33,0.128
797.34,-26,1.331,0.079
797.434,-16,1.332,0.376
797.529,-24,1.333,0.162
797.623,-26,1.334,0.014
797.717,20,1.335,0.346
797.812,8,1.336,0.479
797.906,7,1.337,0.224
798,3,1.338,0.004
798.095,-7,1.34,0.174
798.189,0,1.341,0.095
798.283,21,1.342,0.486
798.377,-16,1.343,0.394
798.472,3,1.344,0.072
798.566,-16,1.345,0.118
798.66,-17,1.346,0.348
798.754,-1,1.347,0.075
798.848,21,1.348,0.196
798.942,-1,1.349,0.097
799.036,12,1.35,0.028
799.13,9,1.351,0.044
799.224,-16,1.352,0.069
799.318,-10,1.353,0.242
799.412,-8,1.355,0.452
799.506,-5,1.356,0.061
799.6,3,1.357,0.019
799.694,-10,1.358,0.416
799.788,-12,1.359,0.508
799.882,-39,1.36,0.255
799.975,-7,1.361,0.12
800.069,-19,1.362,0.068
800.163,-1,1.363,0.348
800.257,-10,1.364,0.163
800.351,-11,1.365,0.133
800.444,-8,1.366,0.135
800.538,1,1.367,0.028
800.632,29,1.368,0.195
800.725,8,1.37,0.174
800.819,6,1.371,0.254
800.912,-7,1.372,0.411
801.006,2,1.373,0.023
801.1,-14,1.374,0.041
801.193,2,1.375,0.209
801.287,10,1.376,0.004
801.38,5,1.377,0.071
801.474,-5,1.378,0.333
801.567,2,1.379,0.153
801.66,-11,1.38,0.137
801.754,8,1.381,0.059
801.847,0,1.382,0.105
801.941,-15,1.384,0.173
802.034,-17,1.385,0.044
802.127,-8,1.386,0.11
802.22,1,1.387,0.105
802.314,-11,1.388,0.265
802.407,-25,1.389,0.059
802.5,-5,1.39,0.051
802.593,-10,1.391,0.064
802.687,-11,1.392,0.737
802.78,6,1.393,0.056
802.873,4,1.394,0.16
802.966,-6,1.395,0.115
803.059,2,1.396,0.075
803.152,-1,1.397,0.299
803.245,2,1.399,0.414
803.338,-7,1.4,0.252
803.431,7,1.401,0.204
803.524,-8,1.402,0.189
803.617,-21,1.403,0.196
803.71,5,1.404,0.061
803.803,31,1.405,0.257
803.896,-12,1.406,0.267
803.988,-6,1.407,0.025
804.081,-21,1.408,0.049
804.174,5,1.409,0.175
804.267,-9,1.41,0.041
804.36,12,1.411,0.205
804.452,-9,1.412,0.031
804.545,16,1.414,0.102
804.638,-12,1.415,0.182
804.73,-17,1.416,0.359
804.823,0,1.417,0.071
804.916,-1,1.418,0.062
805.008,11,1.419,0.015
805.101,15,1.42,0.097
805.193,12,1.421,0.078
805.286,8,1.422,0.056
805.378,-15,1.423,0.099
805.471,14,1.424,0.001
805.563,1,1.425,0.043
805.656,-1,1.426,0.057
805.748,-15,1.427,0.043
805.841,-6,1.429,0.25
805.933,11,1.43,0.278
806.025,14,1.431,0.003
806.118,-5,1.432,0.449
806.21,2,1.433,0.315
806.302,17,1.434,0.006
806.394,2,1.435,0.322
806.487,3,1.436,0.032
806.579,8,1.437,0.427
806.671,1,1.438,0.296
806.763,10,1.439,0.033
806.855,-5,1.44,0.171
806.948,18,1.441,0.014
807.04,31,1.442,0.341
807.132,-12,1.444,0.201
807.224,3,1.445,0.123
807.316,6,1.446,0.133
807.408,2,1.447,0.276
807.5,9,1.448,0.184
807.592,3,1.449,0.023
807.684,9,1.45,0.055
807.776,-15,1.451,0.142
807.867,-15,1.452,0.042
807.959,6,1.453,0.291
808.051,19,1.454,0.019
808.143,1,1.455,0.081
808.235,-16,1.456,0.011
808.327,6,1.457,0.026
808.418,-19,1.459,0.11
808.51,0,1.46,0.073
808.602,17,1.461,0.271
808.693,12,1.462,0.075
808.785,-9,1.463,0.07
808.877,-17,1.464,0.059
808.968,18,1.465,0.034
809.06,-2,1.466,0.194
809.152,11,1.467,0.095
809.243,5,1.468,0.019
809.335,19,1.469,0.276
809.426,13,1.47,0.018
809.518,16,1.471,0.027
809.609,31,1.472,0.189
809.701,14,1.474,0.141
809.792,15,1.475,0.16
809.883,27,1.476,0.035
809.975,26,1.477,0.277
810.066,21,1.478,0.134
810.157,33,1.479,0.396
810.249,20,1.48,0.026
810.34,31,1.481,0.086
810.431,31,1.482,0.137
810.522,35,1.483,0.21
810.614,17,1.484,0.003
810.705,29,1.485,0.382
810.796,8,1.486,0.359
810.887,43,1.487,0.076
810.978,23,1.489,0.109
811.069,25,1.49,0.34
811.16,32,1.491,0.12
811.251,51,1.492,0.221
811.343,42,1.493,0.467
811.434,40,1.494,0.233
811.525,42,1.495,0.051
811.615,31,1.496,0.018
811.706,41,1.497,0.013
811.797,40,1.498,0.207
811.888,36,1.499,0.24
811.979,24,1.5,0.142
812.07,50,1.501,0.164
812.161,33,1.502,0.07
812.252,43,1.504,0.261
812.342,34,1.505,0.202
812.433,47,1.506,0.193
812.524,38,1.507,0.064
812.615,40,1.508,0.042
812.705,47,1.509,0.122
812.796,77,1.51,0.382
812.887,63,1.511,0.028
812.977,84,1.512,0.159
813.068,72,1.513,0.175
813.158,93,1.514,0.099
813.249,101,1.515,0.013
813.339,101,1.516,0.055
813.43,105,1.517,0.12
813.52,118,1.519,0.053
813.611,147,1.52,0.066
813.701,142,1.521,0.025
813.792,146,1.522,0.144
813.882,163,1.523,0.097
813.972,170,1.524,0.158
814.063,191,1.525,0.017
814.153,169,1.526,0.328
814.243,186,1.527,0.149
814.334,174,1.528,0.063
814.424,194,1.529,0.079
814.514,183,1.53,0.056
814.604,172,1.531,0.228
814.695,169,1.532,0.04
814.785,167,1.534,0.079
814.875,169,1.535,0.215
814.965,161,1.536,0.028
815.055,166,1.537,0.258
815.145,153,1.538,0.445
815.235,182,1.539,0.03
815.325,189,1.54,0.015
815.415,165,1.541,0.053
815.505,186,1.542,0.083
815.595,202,1.543,0.271
815.685,195,1.544,0.337
815.775,193,1.545,0.154
815.865,205,1.546,0.202
815.955,214,1.547,0.207
816.045,228,1.549,0.003
816.134,278,1.55,0.299
816.224,281,1.551,0.225
816.314,313,1.552,0.005
816.404,319,1.553,0.214
816.494,372,1.554,0.015
816.583,402,1.555,0.424
816.673,398,1.556,0.082
816.763,471,1.557,0.147
816.852,534,1.558,0.395
816.942,560,1.559,0.033
817.031,583,1.56,0.243
817.121,689,1.561,0.195
817.211,643,1.562,0.04
817.3,657,1.564,0.306
817.39,708,1.565,0.256
817.479,708,1.566,0.074
817.568,693,1.567,0.076
817.658,674,1.568,0.088
817.747,702,1.569,0.214
817.837,687,1.57,0.189
817.926,610,1.571,0.065
818.015,586,1.572,0.177
818.105,598,1.573,0.034
818.194,541,1.574,0.134
818.283,487,1.575,0.2
818.373,495,1.576,0.154
818.462,504,1.577,0.074
818.551,465,1.579,0.167
818.64,479,1.58,0.065
818.729,502,1.581,0.046
818.819,499,1.582,0.092
818.908,524,1.583,0.131
818.997,569,1.584,0.327
819.086,615,1.585,0.153
819.175,643,1.586,0.147
819.264,708,1.587,0.137
819.353,712,1.588,0.026
819.442,800,1.589,0.044
819.531,842,1.59,0.183
819.62,874,1.591,0.074
819.709,938,1.592,0.501
819.798,987,1.594,0.151
819.886,1033,1.595,0.292
819.975,1092,1.596,0.193
820.064,1171,1.597,0.061
820.153,1175,1.598,0.028
820.242,1252,1.599,0.005
820.33,1323,1.6,0.023
820.419,1317,1.601,0.303
820.508,1429,1.602,0.108
820.597,1482,1.603,0.332
820.685,1540,1.604,0.094
820.774,1559,1.605,0.288
820.862,1620,1.606,0.074
820.951,1606,1.607,0.28
821.04,1617,1.609,0.208
821.128,1604,1.61,0.011
821.217,1560,1.611,0.025
821.305,1588,1.612,0.176
821.394,1482,1.613,0.015
821.482,1425,1.614,0.046
821.571,1397,1.615,0.135
821.659,1301,1.616,0.399
821.747,1217,1.617,0.022
821.836,1114,1.618,0.153
821.924,1066,1.619,0.14
822.012,1014,1.62,0.068
822.101,976,1.621,0.162
822.189,953,1.622,0.118
822.277,948,1.624,0.286
822.365,993,1.625,0.094
822.454,1055,1.626,0.076
822.542,1165,1.627,0.023
822.63,1265,1.628,0.312
822.718,1386,1.629,0.367
822.806,1517,1.63,0.175
822.894,1680,1.631,0.162
822.982,1805,1.632,0.217
823.071,1969,1.633,0.342
823.159,2102,1.634,0.279
823.247,2242,1.635,0.34
823.335,2354,1.636,0.328
823.422,2397,1.637,0.183
823.51,2498,1.639,0.43
823.598,2544,1.64,0.057
823.686,2514,1.641,0.004
823.774,2496,1.642,0.197
823.862,2460,1.643,0.326
823.95,2464,1.644,0.118
824.038,2451,1.645,0.202
824.125,2379,1.646,0.118
824.213,2329,1.647,0.043
824.301,2288,1.648,0.16
824.389,2271,1.649,0.005
824.476,2195,1.65,0.136
824.564,2116,1.651,0.103
824.651,2117,1.652,0.423
824.739,2068,1.654,0.068
824.827,1984,1.655,0.223
824.914,1906,1.656,0.363
825.002,1903,1.657,0.193
825.089,1888,1.658,0.078
825.177,1819,1.659,0.243
825.264,1765,1.66,0.023
825.352,1752,1.661,0.029
825.439,1659,1.662,0.21
825.527,1643,1.663,0.042
825.614,1596,1.664,0.098
825.701,1551,1.665,0.134
825.789,1563,1.666,0.024
825.876,1569,1.667,0.018
825.963,1636,1.669,0.244
826.051,1678,1.67,0.09
826.138,1744,1.671,0.18
826.225,1925,1.672,0.121
826.312,2025,1.673,0.018
826.399,2166,1.674,0.034
826.487,2342,1.675,0.26
826.574,2566,1.676,0.158
826.661,2752,1.677,0.173
826.748,2960,1.678,0.221
826.835,3127,1.679,0.168
826.922,3315,1.68,0.28
827.009,3449,1.681,0.161
827.096,3561,1.682,0.174
827.183,3609,1.684,0.082
827.27,3694,1.685,0.174
827.357,3687,1.686,0.192
827.444,3619,1.687,0.129
827.531,3559,1.688,0.161
827.618,3436,1.689,0.397
827.705,3272,1.69,0.598
827.791,3151,1.691,0.19
827.878,2986,1.692,0.233
827.965,2782,1.693,0.532
828.052,2612,1.694,0.043
828.138,2434,1.695,0.128
828.225,2296,1.696,0.192
828.312,2156,1.697,0.548
828.398,2031,1.699,0.131
828.485,1908,1.7,0.471
828.572,1851,1.701,0.066
828.658,1807,1.702,0.164
828.745,1797,1.703,0.376
828.831,1837,1.704,0.122
828.918,1853,1.705,0.065
829.004,1918,1.706,0.106
829.091,1972,1.707,0.458
829.177,2003,1.708,0.432
829.264,2059,1.709,0.113
829.35,2134,1.71,0.082
829.437,2182,1.711,0.213
829.523,2236,1.712,0.061
829.609,2307,1.714,0.179
829.696,2401,1.715,0.326
829.782,2485,1.716,0.126
829.868,2482,1.717,0.077
829.954,2579,1.718,0.039
830.041,2690,1.719,0.143
830.127,2743,1.72,0.143
830.213,2798,1.721,0.469
830.299,2936,1.722,0.135
830.385,3093,1.723,0.016
830.471,3182,1.724,0.207
830.558,3286,1.725,0.058
830.644,3385,1.726,0.013
830.73,3438,1.728,0.055
830.816,3483,1.729,0.053
830.902,3570,1.73,0.2
830.988,3612,1.731,0.198
831.074,3618,1.732,0.016
831.16,3575,1.733,0.075
831.245,3501,1.734,0.025
831.331,3376,1.735,0.1
831.417,3253,1.736,0.157
831.503,3063,1.737,0.322
831.589,2913,1.738,0.414
831.675,2698,1.739,0.107
831.76,2501,1.74,0.083
831.846,2293,1.741,0.188
831.932,2124,1.743,0.117
832.018,1985,1.744,0.221
832.103,1823,1.745,0.213
832.189,1702,1.746,0.011
832.275,1617,1.747,0.033
832.36,1585,1.748,0.127
832.446,1600,1.749,0.127
832.531,1597,1.75,0.185
832.617,1636,1.751,0.039
832.702,1784,1.752,0.095
832.788,1887,1.753,0.169
832.873,2037,1.754,0.244
832.959,2137,1.755,0.19
833.044,2316,1.756,0.066
833.13,2488,1.758,0.03
833.215,2619,1.759,0.343
833.301,2776,1.76,0.098
833.386,2841,1.761,0.044
833.471,2927,1.762,0.078
833.556,3024,1.763,0.024
833.642,2967,1.764,0.205
833.727,2998,1.765,0.086
833.812,3045,1.766,0.157
833.897,2965,1.767,0.368
833.983,3008,1.768,0.025
834.068,2900,1.769,0.033
834.153,2843,1.77,0.026
834.238,2795,1.771,0.02
834.323,2801,1.773,0.129
834.408,2723,1.774,0.011
834.493,2652,1.775,0.311
834.578,2608,1.776,0.047
834.663,2547,1.777,0.177
834.748,2520,1.778,0.185
834.833,2455,1.779,0.143
834.918,2347,1.78,0.206
835.003,2318,1.781,0.052
835.088,2290,1.782,0.064
835.173,2177,1.783,0.157
835.258,2123,1.784,0.021
835.342,2022,1.785,0.14
835.427,2001,1.786,0.106
835.512,1891,1.788,0.112
835.597,1782,1.789,0.255
835.682,1663,1.79,0.281
835.766,1569,1.791,0.291
835.851,1481,1.792,0.153
835.936,1412,1.793,0.062
836.02,1347,1.794,0.085
836.105,1324,1.795,0.138
836.189,1336,1.796,0.458
836.274,1375,1.797,0.175
836.359,1435,1.798,0.151
836.443,1462,1.799,0.147
836.528,1609,1.8,0.227
836.612,1676,1.801,0.001
836.696,1838,1.803,0.25
836.781,1989,1.804,0.102
836.865,2076,1.805,0.065
836.95,2236,1.806,0.248
837.034,2403,1.807,0.177
837.118,2545,1.808,0.295
837.203,2633,1.809,0.143
837.287,2704,1.81,0.207
837.371,2745,1.811,0.13
837.456,2804,1.812,0.072
837.54,2761,1.813,0.011
837.624,2765,1.814,0.088
837.708,2686,1.815,0.065
837.792,2571,1.816,0.294
837.876,2494,1.818,0.197
837.961,2342,1.819,0.059
838.045,2269,1.82,0.126
838.129,2102,1.821,0.027
838.213,1963,1.822,0.177
838.297,1864,1.823,0.054
838.381,1702,1.824,0.106
838.465,1609,1.825,0.076
838.549,1516,1.826,0.1
838.633,1436,1.827,0.117
838.717,1348,1.828,0.056
838.8,1290,1.829,0.043
838.884,1241,1.83,0.198
838.968,1182,1.831,0.236
839.052,1222,1.833,0.118
839.136,1180,1.834,0.153
839.22,1198,1.835,0.005
839.303,1193,1.836,0.192
839.387,1215,1.837,0.003
839.471,1213,1.838,0.12
839.554,1193,1.839,0.359
839.638,1212,1.84,0.13
839.722,1216,1.841,0.039
839.805,1200,1.842,0.147
839.889,1250,1.843,0.162
839.972,1258,1.844,0.318
840.056,1266,1.845,0.182
840.14,1267,1.846,0.27
840.223,1301,1.848,0.237
840.307,1365,1.849,0.219
840.39,1401,1.85,0.244
840.473,1440,1.851,0.038
840.557,1495,1.852,0.379
840.64,1566,1.853,0.079
840.724,1634,1.854,0.115
840.807,1707,1.855,0.144
840.89,1795,1.856,0.198
840.973,1848,1.857,0.196
841.057,1899,1.858,0.268
841.14,1952,1.859,0.227
841.223,1997,1.86,0.167
841.306,2050,1.861,0.015
841.39,2032,1.863,0.031
841.473,1987,1.864,0.12
841.556,2021,1.865,0.266
841.639,1942,1.866,0.005
841.722,1846,1.867,0.501
841.805,1804,1.868,0.067
841.888,1691,1.869,0.063
841.971,1612,1.87,0.094
842.054,1462,1.871,0.114
842.137,1346,1.872,0.207
842.22,1232,1.873,0.137
842.303,1147,1.874,0.019
842.386,1033,1.875,0.017
842.469,967,1.876,0.153
842.552,889,1.878,0.008
842.635,835,1.879,0.066
842.717,812,1.88,0.53
842.8,793,1.881,0.096
842.883,751,1.882,0.298
842.966,815,1.883,0.066
843.048,804,1.884,0.175
843.131,856,1.885,0.03
843.214,865,1.886,0.102
843.297,948,1.887,0.059
843.379,996,1.888,0.107
843.462,1055,1.889,0.315
843.544,1114,1.89,0.34
843.627,1152,1.891,0.051
843.709,1188,1.893,0.106
843.792,1234,1.894,0.183
843.875,1296,1.895,0.005
843.957,1278,1.896,0.056
844.039,1307,1.897,0.094
844.122,1299,1.898,0.122
844.204,1338,1.899,0.405
844.287,1317,1.9,0.082
844.369,1305,1.901,0.38
844.451,1293,1.902,0.108
844.534,1302,1.903,0.469
844.616,1264,1.904,0.364
844.698,1296,1.905,0.233
844.78,1269,1.906,0.034
844.863,1307,1.908,0.291
844.945,1288,1.909,0.206
845.027,1256,1.91,0.224
845.109,1276,1.911,0.327
845.191,1256,1.912,0.036
845.274,1240,1.913,0.109
845.356,1259,1.914,0.028
845.438,1206,1.915,0.092
845.52,1196,1.916,0.011
845.602,1164,1.917,0.127
845.684,1138,1.918,0.016
845.766,1075,1.919,0.171
845.848,1032,1.92,0.093
845.93,968,1.921,0.132
846.011,935,1.923,0.196
846.093,855,1.924,0.184
846.175,795,1.925,0.145
846.257,752,1.926,0.051
846.339,700,1.927,0.152
846.421,636,1.928,0.176
846.502,609,1.929,0.077
846.584,591,1.93,0.344
846.666,582,1.931,0.287
846.748,594,1.932,0.154
846.829,586,1.933,0.133
846.911,604,1.934,0.247
846.993,622,1.935,0.219
847.074,684,1.936,0.314
847.156,733,1.938,0.098
847.237,793,1.939,0.053
847.319,811,1.94,0.195
847.4,878,1.941,0.125
847.482,961,1.942,0.226
847.563,1011,1.943,0.226
847.645,1081,1.944,0.111
847.726,1078,1.945,0.327
847.808,1144,1.946,0.103
847.889,1156,1.947,0.005
847.97,1167,1.948,0.004
848.052,1159,1.949,0.202
848.133,1124,1.95,0.015
848.214,1099,1.951,0.275
848.296,1088,1.953,0.064
848.377,1078,1.954,0.212
848.458,1033,1.955,0.498
848.539,995,1.956,0.41
848.621,949,1.957,0.253
848.702,905,1.958,0.41
848.783,851,1.959,0.498
848.864,791,1.96,0.212
848.945,765,1.961,0.064
849.026,716,1.962,0.275
849.107,680,1.963,0.015
849.188,684,1.964,0.202
849.269,662,1.965,0.004
849.35,618,1.966,0.005
849.431,623,1.968,0.103
849.512,564,1.969,0.327
849.593,568,1.97,0.111
849.674,590,1.971,0.226
849.755,562,1.972,0.226
849.836,539,1.973,0.125
849.916,511,1.974,0.195
849.997,538,1.975,0.053
850.078,503,1.976,0.098
850.159,490,1.977,0.314
850.239,484,1.978,0.219
850.32,472,1.979,0.247
850.401,476,1.98,0.133
850.481,461,1.981,0.154
850.562,433,1.983,0.287
850.643,403,1.984,0.344
850.723,451,1.985,0.077
850.804,439,1.986,0.176
850.884,483,1.987,0.152
850.965,462,1.988,0.051
851.045,479,1.989,0.145
851.126,493,1.99,0.184
851.206,521,1.991,0.196
851.287,560,1.992,0.132
851.367,586,1.993,0.093
851.447,616,1.994,0.171
851.528,644,1.995,0.016
851.608,690,1.996,0.127
851.689,698,1.998,0.011
851.769,701,1.999,0.092
851.849,700,2,0.028
851.929,724,2.001,0.109
852.01,709,2.002,0.036
852.09,715,2.003,0.327
852.17,705,2.004,0.224
852.25,698,2.005,0.206
852.33,647,2.006,0.291
852.41,642,2.007,0.034
852.49,619,2.008,0.233
852.57,571,2.009,0.364
852.651,533,2.01,0.469
852.731,471,2.011,0.108
852.811,462,2.013,0.38
852.891,410,2.014,0.082
852.97,361,2.015,0.405
853.05,336,2.016,0.122
853.13,343,2.017,0.094
853.21,310,2.018,0.056
853.29,275,2.019,0.005
853.37,278,2.02,0.183
853.45,269,2.021,0.106
853.529,272,2.022,0.051
853.609,236,2.023,0.34
853.689,232,2.024,0.315
853.769,218,2.025,0.107
853.848,246,2.026,0.059
853.928,265,2.028,0.102
854.008,266,2.029,0.03
854.087,260,2.03,0.175
854.167,274,2.031,0.066
854.247,285,2.032,0.298
854.326,312,2.033,0.096
854.406,312,2.034,0.53
854.485,293,2.035,0.066
854.565,310,2.036,0.008
854.644,331,2.037,0.153
854.724,343,2.038,0.017
854.803,299,2.039,0.019
854.882,280,2.04,0.137
854.962,305,2.041,0.207
