Wellenlaenge,Intensitaet1,Abstand,Intensitaet2
688.345,-15,0.23,0.138
688.463,-6,0.231,0.212
688.581,-10,0.233,0.18
688.699,2,0.234,0.117
688.816,-20,0.235,0.149
688.934,-14,0.236,0.195
689.052,-7,0.237,0.127
689.169,-5,0.238,0.003
689.287,-16,0.239,0.069
689.405,3,0.24,0.148
689.522,3,0.241,0.336
689.64,-2,0.242,0.122
689.757,-2,0.243,0.08
689.875,-9,0.244,0.044
689.992,-13,0.245,0.108
690.11,-6,0.246,0.129
690.227,-15,0.248,0.047
690.345,0,0.249,0.352
690.462,-12,0.25,0.396
690.58,-10,0.251,0.279
690.697,-33,0.252,0.21
690.814,-9,0.253,0.126
690.932,10,0.254,0.208
691.049,-9,0.255,0.021
691.166,-3,0.256,0.1
691.283,3,0.257,0.458
691.401,4,0.258,0.474
691.518,-17,0.259,0.218
691.635,-2,0.26,0.091
691.752,-26,0.261,0.267
691.869,-14,0.263,0.439
691.986,11,0.264,0.046
692.104,20,0.265,0.037
692.221,-3,0.266,0.162
692.338,-11,0.267,0.001
692.455,4,0.268,0.021
692.572,5,0.269,0.083
692.689,32,0.27,0.378
692.806,-8,0.271,0.265
692.923,-12,0.272,0.375
693.039,8,0.273,0.149
693.156,-10,0.274,0.085
693.273,-1,0.275,0.015
693.39,-14,0.276,0.368
693.507,-17,0.278,0.044
693.624,16,0.279,0.015
693.74,-9,0.28,0.373
693.857,-7,0.281,0.005
693.974,-16,0.282,0.096
694.091,0,0.283,0.002
694.207,1,0.284,0.38
694.324,-22,0.285,0.268
694.441,3,0.286,0.369
694.557,-10,0.287,0.299
694.674,-4,0.288,0.1
694.79,7,0.289,0.005
694.907,0,0.29,0.436
695.023,-7,0.291,0.076
695.14,-22,0.293,0.318
695.256,-17,0.294,0.328
695.373,-6,0.295,0.066
695.489,-7,0.296,0.132
695.606,-13,0.297,0.103
695.722,-7,0.298,0.013
695.838,-16,0.299,0.061
695.955,-25,0.3,0.24
696.071,-5,0.301,0.046
696.187,3,0.302,0.452
696.304,-26,0.303,0.138
696.42,-5,0.304,0.067
696.536,-1,0.305,0.134
696.652,-10,0.306,0.117
696.769,-19,0.308,0.362
696.885,0,0.309,0.28
697.001,-15,0.31,0.377
697.117,-6,0.311,0.152
697.233,-3,0.312,0.19
697.349,-3,0.313,0.388
697.465,-12,0.314,0.052
697.581,-2,0.315,0.052
697.697,3,0.316,0.12
697.813,0,0.317,0.022
697.929,-9,0.318,0.219
698.045,-5,0.319,0.314
698.161,7,0.32,0.291
698.277,4,0.321,0.012
698.393,1,0.323,0.323
698.509,-7,0.324,0.399
698.624,-8,0.325,0.238
698.74,1,0.326,0.012
698.856,3,0.327,0.099
698.972,-5,0.328,0.41
699.087,-3,0.329,0.086
699.203,-4,0.33,0.044
699.319,1,0.331,0.066
699.434,-25,0.332,0.333
699.55,-2,0.333,0.341
699.666,-9,0.334,0.222
699.781,-4,0.335,0.14
699.897,-24,0.336,0.125
700.012,-34,0.338,0.229
700.128,3,0.339,0.289
700.243,-24,0.34,0.429
700.359,-21,0.341,0.135
700.474,-29,0.342,0.283
700.59,5,0.343,0.006
700.705,21,0.344,0.039
700.821,15,0.345,0.857
700.936,2,0.346,0.502
701.051,-7,0.347,0.649
701.167,3,0.348,0.18
701.282,-9,0.349,0.078
701.397,-12,0.35,0.132
701.512,1,0.352,0.092
701.628,1,0.353,0.018
701.743,-19,0.354,0.38
701.858,-22,0.355,0.185
701.973,3,0.356,0.139
702.088,2,0.357,0.069
702.203,8,0.358,0.062
702.318,-12,0.359,0.003
702.434,-18,0.36,0.168
702.549,-11,0.361,0.11
702.664,-7,0.362,0.128
702.779,-9,0.363,0.125
702.894,-22,0.364,0.263
703.009,8,0.365,0.099
703.123,-18,0.367,0.236
703.238,7,0.368,0.007
703.353,-4,0.369,0.007
703.468,-3,0.37,0.148
703.583,-32,0.371,0.135
703.698,6,0.372,0.05
703.813,-4,0.373,0.185
703.927,9,0.374,0.232
704.042,2,0.375,0.333
704.157,-4,0.376,0.16
704.272,-17,0.377,0.123
704.386,-12,0.378,0.289
704.501,-1,0.379,0.02
704.615,-17,0.38,0.064
704.73,-25,0.382,0.199
704.845,-16,0.383,0.274
704.959,-18,0.384,0.035
705.074,16,0.385,0.111
705.188,-15,0.386,0.166
705.303,-18,0.387,0.072
705.417,2,0.388,0.182
705.532,3,0.389,0.466
705.646,-21,0.39,0.166
705.761,-31,0.391,0.381
705.875,4,0.392,0.409
705.989,8,0.393,0.42
706.104,11,0.394,0.276
706.218,-13,0.395,0.034
706.332,-2,0.397,0.364
706.447,-12,0.398,0.097
706.561,-16,0.399,1.285
706.675,-1,0.4,0.732
706.789,-11,0.401,1.329
706.903,-1,0.402,0.168
707.018,1,0.403,0.316
707.132,-7,0.404,0.482
707.246,-17,0.405,0.042
707.36,-22,0.406,0.103
707.474,-13,0.407,0.079
707.588,-9,0.408,0.154
707.702,-11,0.409,0.405
707.816,-14,0.41,0.027
707.93,-28,0.412,0.023
708.044,21,0.413,0.198
708.158,7,0.414,0.292
708.272,3,0.415,0.146
708.386,9,0.416,0.112
708.5,-36,0.417,0.041
708.613,-33,0.418,0.238
708.727,-9,0.419,0.565
708.841,-14,0.42,0.409
708.955,-34,0.421,0.368
709.069,5,0.422,0.149
709.182,-18,0.423,0.09
709.296,-23,0.424,0.163
709.41,-18,0.425,0.413
709.523,17,0.427,0.567
709.637,-7,0.428,0.415
709.751,8,0.429,0.489
709.864,-4,0.43,0.126
709.978,-3,0.431,0.166
710.091,5,0.432,0.336
710.205,-11,0.433,0.259
710.318,-7,0.434,0.171
710.432,-19,0.435,0.084
710.545,-19,0.436,0.22
710.659,-8,0.437,0.013
710.772,13,0.438,0.322
710.885,13,0.439,0.152
710.999,-11,0.44,0.044
711.112,-9,0.442,0.107
711.225,-13,0.443,0.008
711.339,-7,0.444,0.014
711.452,2,0.445,0.041
711.565,-4,0.446,0.082
711.678,6,0.447,0.041
711.792,-19,0.448,0.097
711.905,-14,0.449,0.044
712.018,-10,0.45,0.407
712.131,4,0.451,0.221
712.244,2,0.452,0.334
712.357,1,0.453,0.153
712.47,10,0.454,0.206
712.583,-1,0.455,0.205
712.696,4,0.457,0.19
712.809,-26,0.458,0.32
712.922,0,0.459,0.429
713.035,-9,0.46,0.4
713.148,-17,0.461,0.277
713.261,6,0.462,0.508
713.374,-22,0.463,0.019
713.487,-25,0.464,0.02
713.6,-12,0.465,0.118
713.713,-9,0.466,0.075
713.825,-1,0.467,0.007
713.938,-12,0.468,0.188
714.051,-8,0.469,0.08
714.164,-6,0.47,0.161
714.276,10,0.472,0.146
714.389,-7,0.473,0
714.502,-23,0.474,0.347
714.614,-13,0.475,0.387
714.727,-19,0.476,0.497
714.84,-23,0.477,0.072
714.952,-11,0.478,0.029
715.065,17,0.479,0.317
715.177,5,0.48,0.315
715.29,2,0.481,0.097
715.402,-29,0.482,0.411
715.515,-4,0.483,0.495
715.627,-2,0.484,0.13
715.739,2,0.485,0.09
715.852,-18,0.487,0.009
715.964,-9,0.488,0.327
716.076,-8,0.489,0.059
716.189,-13,0.49,0.181
716.301,2,0.491,0.177
716.413,0,0.492,0.103
716.526,-15,0.493,0.126
716.638,-26,0.494,0.032
716.75,-17,0.495,0.204
716.862,-15,0.496,0.359
716.974,-12,0.497,0.195
717.086,2,0.498,0.135
717.199,-9,0.499,0.086
717.311,17,0.5,0.033
717.423,-17,0.502,0.167
717.535,-32,0.503,0.088
717.647,5,0.504,0.006
717.759,14,0.505,0.142
717.871,-8,0.506,0.294
717.983,18,0.507,0.185
718.095,6,0.508,0.137
718.207,-1,0.509,0.095
718.318,-1,0.51,0.152
718.43,2,0.511,0.065
718.542,-28,0.512,0.097
718.654,8,0.513,0.313
718.766,5,0.514,0.25
718.878,-10,0.515,0.038
718.989,-7,0.517,0.034
719.101,12,0.518,0.195
719.213,5,0.519,0.048
719.324,-11,0.52,0.028
719.436,-9,0.521,0.009
719.548,19,0.522,0.387
719.659,-13,0.523,0.005
719.771,-7,0.524,0.122
719.882,-14,0.525,0.058
719.994,-38,0.526,0.065
720.105,-12,0.527,0.496
720.217,-9,0.528,0.087
720.328,26,0.529,0.362
720.44,6,0.53,0.231
720.551,-16,0.532,0.05
720.663,-22,0.533,0.024
720.774,-13,0.534,0.027
720.885,-19,0.535,0.122
720.997,-21,0.536,0.065
721.108,-4,0.537,0.183
721.219,1,0.538,0.465
721.331,-6,0.539,0.174
721.442,-22,0.54,0.152
721.553,-9,0.541,0.045
721.664,-11,0.542,0.154
721.776,10,0.543,0.073
721.887,2,0.544,0.135
721.998,17,0.545,0.223
722.109,2,0.547,0.055
722.22,-6,0.548,0.017
722.331,12,0.549,0.433
722.442,-1,0.55,0.01
722.553,-30,0.551,0.082
722.664,-15,0.552,0.269
722.775,-5,0.553,0.192
722.886,5,0.554,0.14
722.997,6,0.555,0.036
723.108,15,0.556,0.13
723.219,11,0.557,0.263
723.33,-5,0.558,0.055
723.44,-42,0.559,0.321
723.551,-15,0.56,0.068
723.662,-1,0.562,0.116
723.773,17,0.563,0.122
723.884,-5,0.564,0.062
723.994,-9,0.565,0.042
724.105,-36,0.566,0.091
724.216,-2,0.567,0.115
724.326,-10,0.568,0.107
724.437,0,0.569,0.044
724.548,-9,0.57,0.393
724.658,-15,0.571,0.08
724.769,-18,0.572,0.118
724.879,18,0.573,0.161
724.99,-12,0.574,0.288
725.1,0,0.575,0.019
725.211,-3,0.577,0.01
725.321,-17,0.578,0.047
725.432,-11,0.579,0.01
725.542,-17,0.58,0.135
725.652,-8,0.581,0.192
725.763,-10,0.582,0.241
725.873,-1,0.583,0.131
725.983,-25,0.584,0.315
726.094,-20,0.585,0.293
726.204,-1,0.586,0.364
726.314,4,0.587,0.414
726.424,15,0.588,0.009
726.535,20,0.589,0.162
726.645,-9,0.59,0.442
726.755,-18,0.592,0.128
726.865,-16,0.593,0.764
726.975,2,0.594,0.647
727.085,8,0.595,0.189
727.195,6,0.596,0.269
727.305,11,0.597,0.023
727.415,2,0.598,0.212
727.525,-1,0.599,0.546
727.635,8,0.6,0.371
727.745,-10,0.601,0.355
727.855,3,0.602,0.561
727.965,0,0.603,0.119
728.075,-6,0.604,0.19
728.185,1,0.605,0.744
728.295,-17,0.607,0.183
728.405,-25,0.608,0.303
728.514,13,0.609,0.344
728.624,29,0.61,0.195
728.734,-17,0.611,0.503
728.844,-23,0.612,0.249
728.953,-6,0.613,0.33
729.063,-14,0.614,0.12
729.173,-4,0.615,0.458
729.282,11,0.616,0.52
729.392,-1,0.617,0.241
729.501,-17,0.618,0.226
729.611,-5,0.619,0.21
729.721,-20,0.62,0.427
729.83,5,0.622,0.354
729.94,-2,0.623,0.022
730.049,-3,0.624,0.038
730.159,-9,0.625,0.286
730.268,-20,0.626,0.188
730.377,-9,0.627,0.007
730.487,0,0.628,0.068
730.596,6,0.629,0.096
730.705,-10,0.63,0.257
730.815,-16,0.631,0.165
730.924,-17,0.632,0.03
731.033,-4,0.633,0.188
731.143,-8,0.634,0.102
731.252,-17,0.635,0.203
731.361,-1,0.637,0.05
731.47,3,0.638,0.385
731.579,-4,0.639,0.553
731.688,-6,0.64,0.065
731.798,-30,0.641,0.349
731.907,-23,0.642,0.178
732.016,-14,0.643,0.023
732.125,-13,0.644,0.095
732.234,-19,0.645,0.352
732.343,-28,0.646,0.006
732.452,-15,0.647,0.027
732.561,3,0.648,0.1
732.67,-8,0.649,0.149
732.778,-8,0.65,0.119
732.887,0,0.652,0.136
732.996,-16,0.653,0.031
733.105,-2,0.654,0.393
733.214,1,0.655,0.028
733.323,-8,0.656,0.439
733.431,15,0.657,0.592
733.54,9,0.658,0.074
733.649,0,0.659,0.067
733.758,-14,0.66,0.315
733.866,4,0.661,0.124
733.975,-4,0.662,0.092
734.084,-10,0.663,0.121
734.192,-13,0.664,0.286
734.301,-11,0.665,0.215
734.409,-8,0.667,0.014
734.518,-7,0.668,0.641
734.626,-18,0.669,0.187
734.735,-16,0.67,0.124
734.843,-3,0.671,0.275
734.952,-14,0.672,0.077
735.06,6,0.673,0.568
735.169,20,0.674,0.23
735.277,6,0.675,0.042
735.385,-8,0.676,0.406
735.494,-13,0.677,0.26
735.602,-17,0.678,0.006
735.71,-16,0.679,0.226
735.819,-20,0.68,0.118
735.927,-34,0.682,0.464
736.035,-6,0.683,0.364
736.143,14,0.684,0.51
736.251,-12,0.685,0.341
736.36,-40,0.686,0.304
736.468,-15,0.687,0.119
736.576,1,0.688,0.096
736.684,-8,0.689,0.387
736.792,-1,0.69,0.215
736.9,1,0.691,0.306
737.008,-12,0.692,0.231
737.116,-18,0.693,0.205
737.224,-3,0.694,0.018
737.332,-7,0.696,0.159
737.44,-5,0.697,0.356
737.548,-20,0.698,0.118
737.656,-13,0.699,0.015
737.763,-3,0.7,0.082
737.871,10,0.701,0.197
737.979,10,0.702,0.158
738.087,-22,0.703,0.03
738.195,-7,0.704,0.156
738.302,15,0.705,0.253
738.41,18,0.706,0.145
738.518,12,0.707,0.184
738.625,-7,0.708,0.116
738.733,-11,0.709,0.237
738.841,-14,0.711,0.131
738.948,-6,0.712,0.047
739.056,-8,0.713,0.005
739.164,-14,0.714,0.266
739.271,-20,0.715,0.39
739.379,7,0.716,0.312
739.486,0,0.717,0.101
739.594,16,0.718,0.193
739.701,-12,0.719,0.128
739.808,-1,0.72,0.033
739.916,-14,0.721,0.332
740.023,-12,0.722,0.159
740.131,-1,0.723,0.244
740.238,5,0.724,0.352
740.345,11,0.726,0.113
740.452,0,0.727,0.286
740.56,-1,0.728,0.187
740.667,4,0.729,0.345
740.774,-20,0.73,0.409
740.881,-13,0.731,0.411
740.989,-3,0.732,0.18
741.096,-3,0.733,0.131
